image,expected_text,predicted_text,detected,score,gt_bbox,pred_bbox,bbox_iou,bbox_relative_error,bbox_error_le_10pct,exact_match,char_accuracy,brightness,scene_proxy,detect_time_ms,ocr_time_ms,total_time_ms
00311781609195-90_87-194&321_296&359-292&361_192&360_192&326_292&327-10_0_26_7_30_21_33-134-7.jpg,苏A2H6X9,苏A2H6X9,True,0.71,"[194, 321, 296, 359]","[184, 321, 296, 361]",0.8652,0.0377,True,True,1.0,134,day_proxy,27.11,125.52,154.45
00326388888889-90_90-332&385_445&427-439&430_338&430_339&393_440&393-0_0_17_10_26_30_25-93-13.jpg,皖ATL261,皖ATL261,True,0.7293,"[332, 385, 445, 427]","[331, 389, 441, 431]",0.7929,0.0587,True,True,1.0,93,night_proxy,23.81,7.58,31.96
00357638888889-90_91-319&470_439&505-433&506_328&501_330&467_435&472-0_0_18_14_32_24_30-111-9.jpg,皖AUQ806,皖AUQ806,True,0.7412,"[319, 470, 439, 505]","[320, 463, 438, 506]",0.8029,0.0613,True,True,1.0,111,day_proxy,21.77,7.88,30.09
00371527777778-89_89-382&621_503&670-506&664_391&665_391&628_506&627-0_16_20_6_31_31_30-154-5.jpg,皖SWG776,皖SWG776,True,0.7312,"[382, 621, 503, 670]","[379, 622, 512, 669]",0.8759,0.035,True,True,1.0,154,day_proxy,23.12,7.84,31.45
00375359195402-88_84-275&477_378&514-375&513_281&518_274&484_368&479-0_0_4_29_16_29_29-107-16.jpg,皖AE5S55,皖AE5S55,True,0.7129,"[275, 477, 378, 514]","[271, 475, 377, 518]",0.8213,0.0527,True,True,1.0,107,night_proxy,21.51,7.09,29.17
00394636015326-90_89-233&452_351&494-355&489_247&494_244&459_352&454-0_0_6_7_31_25_27-98-10.jpg,皖AGH713,皖AGH713,True,0.7464,"[233, 452, 351, 494]","[237, 450, 356, 495]",0.8669,0.0369,True,True,1.0,98,night_proxy,20.47,7.53,28.48
00417624521073-91_86-315&451_440&495-431&497_318&494_320&456_433&459-0_0_6_32_25_32_5-96-5.jpg,皖AG818F,皖AG818F,True,0.7374,"[315, 451, 440, 495]","[309, 455, 436, 497]",0.8075,0.0541,True,True,1.0,96,night_proxy,25.24,10.58,36.31
00419420498084-90_86-300&418_430&471-433&468_315&481_307&437_425&424-0_0_7_29_28_27_29-205-8.jpg,皖AH5435,皖AH5435,True,0.766,"[300, 418, 430, 471]","[306, 427, 433, 478]",0.6897,0.0928,True,True,1.0,205,day_proxy,29.16,8.19,38.01
00426843869731-91_90-393&446_523&493-530&491_399&487_400&442_531&446-0_0_26_22_25_25_30-93-9.jpg,皖A2Y116,皖A2Y116,True,0.7325,"[393, 446, 523, 493]","[393, 443, 534, 490]",0.8152,0.0531,True,True,1.0,93,night_proxy,19.29,6.52,26.34
0044061302682-89_92-307&457_441&505-440&501_321&502_320&459_439&458-0_0_2_25_17_32_32-129-9.jpg,皖AC1T88,皖AC1T88,True,0.7648,"[307, 457, 441, 505]","[313, 455, 441, 501]",0.8421,0.0424,True,True,1.0,129,day_proxy,35.25,8.01,43.82
00448275862069-92_86-268&486_389&533-384&539_263&532_266&489_387&496-0_0_31_29_32_6_29-114-13.jpg,皖A758G5,皖A758G5,True,0.767,"[268, 486, 389, 533]","[259, 486, 386, 536]",0.8544,0.0408,True,True,1.0,114,day_proxy,19.97,8.38,28.86
00500598659004-92_91-301&489_436&529-436&540_316&530_319&490_439&500-0_0_4_32_1_32_27-96-26.jpg,皖AE8B83,皖AE8B83,True,0.7806,"[301, 489, 436, 529]","[309, 486, 439, 539]",0.7046,0.1016,False,True,1.0,96,night_proxy,28.2,8.1,36.81
0050945881226-91_90-396&394_542&444-532&448_410&440_413&399_535&407-0_0_15_11_33_26_28-137-13.jpg,皖ARM924,皖ARM924,True,0.7689,"[396, 394, 542, 444]","[396, 398, 542, 451]",0.807,0.055,True,True,1.0,137,day_proxy,21.87,7.18,29.58
00518678160919-93_85-116&656_247&710-245&713_114&705_114&659_245&667-0_0_13_27_26_24_20-53-10.jpg,皖AP320W,皖AP320W,True,0.7778,"[116, 656, 247, 710]","[105, 653, 249, 713]",0.8187,0.0526,True,True,1.0,53,night_proxy,28.04,9.39,37.97
00521551724138-90_90-210&529_351&575-350&585_208&578_208&529_350&536-0_0_5_6_24_24_33-152-7.jpg,皖AFG009,皖AFG009,True,0.7778,"[210, 529, 351, 575]","[202, 527, 352, 584]",0.7586,0.0757,True,True,1.0,152,day_proxy,31.48,8.1,40.25
00528017241379-91_93-284&474_427&524-422&530_284&522_285&477_423&485-0_0_9_33_32_33_12-188-11.jpg,皖AK989N,皖AK989N,True,0.772,"[284, 474, 427, 524]","[277, 475, 426, 529]",0.8446,0.044,True,True,1.0,188,day_proxy,32.7,7.15,40.37
00541427203065-90_94-470&297_622&348-619&343_487&343_489&303_621&303-0_0_24_33_0_32_30-152-15.jpg,皖A09A86,皖A09A86,True,0.7573,"[470, 297, 622, 348]","[482, 298, 622, 345]",0.8488,0.0393,True,True,1.0,152,day_proxy,32.75,7.72,41.05
00551724137931-90_91-406&315_549&359-546&352_419&355_423&312_550&309-0_0_31_28_25_33_32-88-7.jpg,皖A74198,皖A74198,True,0.7787,"[406, 315, 549, 359]","[411, 306, 553, 356]",0.7316,0.0839,True,True,1.0,88,night_proxy,25.35,7.83,33.74
0055316091954-90_87-316&339_470&388-473&386_323&386_323&335_473&335-0_0_26_27_4_30_27-118-7.jpg,皖A23E63,皖A23E63,True,0.7706,"[316, 339, 470, 388]","[316, 335, 471, 386]",0.8813,0.0322,True,True,1.0,118,day_proxy,32.6,8.61,41.67
00555076628352-90_85-307&476_440&528-437&535_306&528_306&483_437&490-0_0_23_26_31_28_28-161-22.jpg,皖AZ2744,皖AZ2744,True,0.7856,"[307, 476, 440, 528]","[302, 481, 436, 534]",0.7622,0.0698,True,True,1.0,161,day_proxy,29.53,9.38,39.5
00559626436781-90_90-356&457_491&499-486&506_357&504_363&453_492&455-0_0_8_21_24_29_32-133-7.jpg,皖AJX058,皖AJX058,True,0.7898,"[356, 457, 491, 499]","[354, 454, 490, 506]",0.7911,0.0651,True,True,1.0,133,day_proxy,24.24,6.8,31.49
00560344827586-89_89-264&306_411&357-405&357_263&363_260&317_402&311-0_0_7_2_33_30_25-109-8.jpg,皖AHC961,皖AHC961,True,0.7667,"[264, 306, 411, 357]","[257, 308, 402, 358]",0.8468,0.0419,True,True,1.0,109,night_proxy,23.47,7.55,31.58
00577825670498-90_89-228&531_381&578-387&584_224&584_223&528_386&528-0_0_29_32_9_29_30-164-17.jpg,皖A58K56,皖A58K56,True,0.817,"[228, 531, 381, 578]","[222, 526, 386, 584]",0.756,0.0765,True,True,1.0,164,day_proxy,27.33,8.47,36.37
00578304597702-90_90-493&338_644&393-633&392_501&394_504&339_636&337-0_0_23_29_22_25_31-124-8.jpg,皖AZ5Y17,皖AZ5Y17,True,0.7425,"[493, 338, 644, 393]","[482, 338, 646, 393]",0.9207,0.0215,True,True,1.0,124,day_proxy,29.54,7.34,37.37
00584770114943-90_85-300&408_442&454-448&456_298&463_296&411_446&404-0_0_30_29_11_30_24-138-27.jpg,皖A65M60,皖A65M60,True,0.7839,"[300, 408, 442, 454]","[293, 404, 447, 461]",0.7441,0.0809,True,True,1.0,138,day_proxy,19.4,6.72,26.55
00591475095786-90_90-311&501_449&552-448&550_318&543_319&496_449&503-0_7_5_22_30_27_27-165-14.jpg,皖HFY633,皖HFY633,True,0.7808,"[311, 501, 449, 552]","[311, 495, 449, 549]",0.8421,0.0441,True,True,1.0,165,day_proxy,37.31,8.97,46.86
0060775862069-90_91-265&524_426&570-425&582_266&573_269&520_428&529-0_0_12_14_25_26_27-92-16.jpg,皖ANQ123,皖ANQ123,True,0.789,"[265, 524, 426, 570]","[265, 522, 424, 578]",0.813,0.0575,True,True,1.0,92,night_proxy,68.28,22.39,91.67
00618534482759-91_87-237&545_372&591-373&598_242&591_246&546_377&553-0_0_2_30_30_32_5-95-12.jpg,皖AC668F,皖AC668F,True,0.773,"[237, 545, 372, 591]","[239, 545, 379, 597]",0.8299,0.0493,True,True,1.0,95,night_proxy,152.25,24.4,177.32
00623563218391-91_83-264&485_405&533-403&542_264&533_262&487_401&496-0_0_10_33_16_29_33-119-20.jpg,皖AL9S59,皖AL9S59,True,0.7831,"[264, 485, 405, 533]","[259, 484, 405, 541]",0.8133,0.0557,True,True,1.0,119,day_proxy,60.8,13.35,74.85
00638170498084-90_90-347&527_493&579-503&580_346&589_341&536_498&527-0_0_24_8_26_30_33-125-8.jpg,皖A0J269,皖A0J269,True,0.7967,"[347, 527, 493, 579]","[343, 531, 499, 584]",0.7917,0.0604,True,True,1.0,125,day_proxy,34.83,9.32,44.7
00641762452107-90_92-257&514_417&570-416&575_263&581_265&526_418&520-0_0_7_9_30_24_26-82-8.jpg,皖AHK602,皖AHK602,True,0.7591,"[257, 514, 417, 570]","[253, 516, 432, 578]",0.7567,0.0743,True,True,1.0,82,night_proxy,33.99,9.49,43.96
00644396551724-90_86-310&523_462&568-467&572_307&577_309&523_469&518-0_0_9_2_25_33_30-153-13.jpg,皖AKC196,皖AKC196,True,0.7763,"[310, 523, 462, 568]","[310, 522, 465, 574]",0.8486,0.0438,True,True,1.0,153,day_proxy,52.69,33.15,88.28
00649066091954-90_88-272&429_422&481-434&484_270&486_268&432_432&430-0_0_4_0_26_28_27-142-7.jpg,皖AEA243,皖AEA243,True,0.7902,"[272, 429, 422, 481]","[267, 430, 431, 486]",0.8196,0.0522,True,True,1.0,142,day_proxy,52.68,14.88,68.81
00649066091954-90_92-333&397_506&452-513&460_328&457_327&398_512&401-0_0_10_27_30_32_9-133-21.jpg,皖AL368K,皖AL368K,True,0.7931,"[333, 397, 506, 452]","[329, 400, 508, 455]",0.868,0.0359,True,True,1.0,133,day_proxy,43.18,11.27,55.09
00652897509579-90_91-478&358_634&413-629&410_493&412_492&365_628&363-0_9_17_31_19_31_31-138-7.jpg,皖KT7V77,皖KT7V77,True,0.8069,"[478, 358, 634, 413]","[491, 365, 625, 411]",0.7184,0.0762,True,True,1.0,138,day_proxy,47.38,10.02,58.01
00659722222222-90_86-374&507_527&572-529&580_371&574_368&518_526&524-0_0_15_25_26_32_32-57-46.jpg,皖AR1288,皖AR1288,True,0.7885,"[374, 507, 527, 572]","[367, 519, 527, 575]",0.7511,0.0691,True,True,1.0,57,night_proxy,38.08,12.51,51.05
0066415229885-90_89-220&486_369&544-355&540_224&537_227&491_358&494-0_0_25_25_20_30_32-151-75.jpg,皖A11W68,皖A11W68,True,0.7737,"[220, 486, 369, 544]","[219, 489, 356, 539]",0.7823,0.058,True,True,1.0,151,day_proxy,29.17,9.46,39.25
00667744252874-91_85-293&494_455&546-460&541_294&544_291&489_457&486-0_0_25_23_33_29_32-86-8.jpg,皖A1Z958,皖A1Z958,True,0.7884,"[293, 494, 455, 546]","[288, 484, 460, 543]",0.7465,0.0779,True,True,1.0,86,night_proxy,42.18,11.82,54.73
00674329501916-91_88-307&482_449&531-445&536_314&527_315&483_446&492-0_0_10_26_31_25_18-114-26.jpg,皖AL271U,皖AL271U,True,0.784,"[307, 482, 449, 531]","[310, 482, 446, 535]",0.8883,0.031,True,True,1.0,114,day_proxy,28.19,9.62,38.75
00684267241379-90_87-298&483_438&539-444&539_301&535_304&483_447&487-0_0_33_16_33_29_25-172-8.jpg,皖A9S951,皖A9S951,True,0.7916,"[298, 483, 438, 539]","[296, 480, 446, 540]",0.8711,0.0357,True,True,1.0,172,day_proxy,35.78,9.08,45.3
00689655172414-92_88-295&414_442&465-444&469_294&458_298&406_448&417-0_0_29_30_30_22_32-108-13.jpg,皖A566Y8,皖A566Y8,True,0.7812,"[295, 414, 442, 465]","[290, 406, 445, 467]",0.7929,0.0626,True,True,1.0,108,night_proxy,35.26,13.26,49.04
0069216954023-90_90-284&444_433&492-431&491_285&495_284&445_430&441-0_0_9_27_24_33_21-100-40.jpg,皖AK309X,皖AK309X,True,0.7906,"[284, 444, 433, 492]","[282, 442, 431, 494]",0.8995,0.0275,True,True,1.0,100,night_proxy,28.78,7.79,37.1
