image,expected_text,predicted_v1,predicted_v2,detected,score,v1_exact_match,v2_exact_match,v1_char_accuracy,v2_char_accuracy,better_model,bbox,output_image
00311781609195-90_87-194&321_296&359-292&361_192&360_192&326_292&327-10_0_26_7_30_21_33-134-7.jpg,苏A2H6X9,苏A2H6X9,苏A2H6X9,True,0.71,True,True,1.0,1.0,same,"[179, 319, 301, 363]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00311781609195-90_87-194&321_296&359-292&361_192&360_192&326_292&327-10_0_26_7_30_21_33-134-7.jpg
00326388888889-90_90-332&385_445&427-439&430_338&430_339&393_440&393-0_0_17_10_26_30_25-93-13.jpg,皖ATL261,皖ATL261,皖ATL261,True,0.7293,True,True,1.0,1.0,same,"[326, 387, 446, 433]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00326388888889-90_90-332&385_445&427-439&430_338&430_339&393_440&393-0_0_17_10_26_30_25-93-13.jpg
00357638888889-90_91-319&470_439&505-433&506_328&501_330&467_435&472-0_0_18_14_32_24_30-111-9.jpg,皖AUQ806,皖AUQ806,皖AUQ806,True,0.7412,True,True,1.0,1.0,same,"[315, 461, 443, 508]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00357638888889-90_91-319&470_439&505-433&506_328&501_330&467_435&472-0_0_18_14_32_24_30-111-9.jpg
00371527777778-89_89-382&621_503&670-506&664_391&665_391&628_506&627-0_16_20_6_31_31_30-154-5.jpg,皖SWG776,皖SWG776,皖SWG776,True,0.7312,True,True,1.0,1.0,same,"[373, 620, 518, 671]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00371527777778-89_89-382&621_503&670-506&664_391&665_391&628_506&627-0_16_20_6_31_31_30-154-5.jpg
00375359195402-88_84-275&477_378&514-375&513_281&518_274&484_368&479-0_0_4_29_16_29_29-107-16.jpg,皖AE5S55,皖AE5S55,皖AE5S55,True,0.7129,True,True,1.0,1.0,same,"[266, 473, 382, 520]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00375359195402-88_84-275&477_378&514-375&513_281&518_274&484_368&479-0_0_4_29_16_29_29-107-16.jpg
00394636015326-90_89-233&452_351&494-355&489_247&494_244&459_352&454-0_0_6_7_31_25_27-98-10.jpg,皖AGH713,皖AGH713,皖AGH713,True,0.7464,True,True,1.0,1.0,same,"[232, 448, 361, 497]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00394636015326-90_89-233&452_351&494-355&489_247&494_244&459_352&454-0_0_6_7_31_25_27-98-10.jpg
00417624521073-91_86-315&451_440&495-431&497_318&494_320&456_433&459-0_0_6_32_25_32_5-96-5.jpg,皖AG818F,皖AG818F,皖AG818F,True,0.7374,True,True,1.0,1.0,same,"[303, 453, 442, 499]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00417624521073-91_86-315&451_440&495-431&497_318&494_320&456_433&459-0_0_6_32_25_32_5-96-5.jpg
00419420498084-90_86-300&418_430&471-433&468_315&481_307&437_425&424-0_0_7_29_28_27_29-205-8.jpg,皖AH5435,皖AH5435,皖AH5435,True,0.766,True,True,1.0,1.0,same,"[300, 425, 439, 480]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00419420498084-90_86-300&418_430&471-433&468_315&481_307&437_425&424-0_0_7_29_28_27_29-205-8.jpg
00426843869731-91_90-393&446_523&493-530&491_399&487_400&442_531&446-0_0_26_22_25_25_30-93-9.jpg,皖A2Y116,皖A2Y116,皖A2Y116,True,0.7325,True,True,1.0,1.0,same,"[386, 441, 541, 492]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\00426843869731-91_90-393&446_523&493-530&491_399&487_400&442_531&446-0_0_26_22_25_25_30-93-9.jpg
0044061302682-89_92-307&457_441&505-440&501_321&502_320&459_439&458-0_0_2_25_17_32_32-129-9.jpg,皖AC1T88,皖AC1T88,皖AC1T88,True,0.7648,True,True,1.0,1.0,same,"[307, 453, 447, 503]",E:\11xuexi\sx1\2gd\9\Sampling_of_CCPD_files\compare_ocr_results\0044061302682-89_92-307&457_441&505-440&501_321&502_320&459_439&458-0_0_2_25_17_32_32-129-9.jpg
